t	x	y	theta	v	omega	v	omega
5.017	2.17933	0.584435	0.805417	0.499981	0.165924	0.5	0.136884
5.038	2.18659	0.592018	0.808708	0.499944	0.146609	0.5	0.136884
5.059	2.19383	0.599625	0.811852	0.500106	0.152551	0.5	0.136884
5.079	2.2007	0.60689	0.814894	0.499974	0.151755	0.5	0.136884
5.1	2.20789	0.614541	0.818072	0.499966	0.150969	0.5	0.136884
5.12	2.21472	0.62185	0.821108	0.5001	0.152364	0.5	0.136884
5.141	2.22186	0.629545	0.824297	0.499987	0.151571	0.5	0.136884
5.161	2.22864	0.636896	0.827322	0.500003	0.151084	0.5	0.136884
5.182	2.23574	0.644636	0.83051	0.499964	0.15218	0.5	0.10951
5.203	2.24281	0.652398	0.833699	0.500041	0.151725	0.5	0.10951
5.224	2.24985	0.660183	0.836881	0.499988	0.151437	0.5	0.10951
5.245	2.25687	0.667989	0.839534	0.499936	0.120445	0.5	0.10951
5.266	2.26388	0.675814	0.842134	0.500148	0.12437	0.5	0.10951
5.286	2.27053	0.683282	0.844621	0.500042	0.124305	0.5	0.10951
5.307	2.27749	0.691142	0.847237	0.499956	0.124646	0.5	0.10951
5.327	2.2841	0.698644	0.849735	0.500129	0.124891	0.5	0.10951
5.347	2.29069	0.706163	0.852215	0.499999	0.123949	0.5	0.10951
5.368	2.2976	0.714075	0.854829	0.499932	0.124559	0.5	0.0811416
5.388	2.30415	0.721628	0.857324	0.500063	0.124743	0.5	0.0811416
5.408	2.31069	0.729197	0.859818	0.499991	0.124675	0.5	0.0811416
5.428	2.31753	0.737161	0.862361	0.49991	0.0931522	0.5	0.0811416
5.449	2.32403	0.74476	0.864227	0.500108	0.0965064	0.5	0.0811416
5.469	2.33051	0.752373	0.866158	0.499987	0.0974676	0.5	0.0811416
5.489	2.33731	0.760378	0.868205	0.49991	0.0971503	0.5	0.0811416
5.51	2.34408	0.768398	0.870245	0.500121	0.0971123	0.5	0.0811416
5.531	2.35052	0.776049	0.872186	0.499953	0.0966832	0.5	0.0811416
5.551	2.35727	0.784096	0.874218	0.499926	0.097162	0.5	0.0811416
5.572	2.36368	0.791772	0.876161	0.500102	0.0970686	0.5	0.0811416
5.592	2.37007	0.799461	0.878102	0.499983	0.097095	0.5	0.0510561
5.612	2.37677	0.807547	0.880089	0.499895	0.0865766	0.5	0.0510561
5.633	2.38345	0.815646	0.88177	0.50013	0.0638019	0.5	0.0510561
5.654	2.38981	0.823369	0.883075	0.499954	0.0686953	0.5	0.0510561
5.675	2.39646	0.831486	0.884523	0.499933	0.0694282	0.5	0.0510561
5.695	2.4028	0.839227	0.885905	0.500079	0.0685205	0.5	0.0510561
5.714	2.40912	0.846976	0.887276	0.500065	0.0685778	0.5	0.0510561
5.736	2.41574	0.855121	0.888722	0.499917	0.0692914	0.5	0.0510561
5.756	2.42204	0.862888	0.890103	0.500066	0.0687242	0.5	0.0510561
5.775	2.42833	0.870664	0.891475	0.500015	0.0684408	0.5	0.0510561
5.797	2.43492	0.878837	0.892918	0.499948	0.0690181	0.5	0.0205377
5.818	2.4415	0.88702	0.894277	0.500065	0.0599535	0.5	0.0205377
5.838	2.44776	0.894821	0.89521	0.500037	0.0333648	0.5	0.0205377
5.858	2.45401	0.902626	0.895925	0.499956	0.0381703	0.5	0.0205377
5.879	2.46056	0.910827	0.896743	0.500036	0.0396175	0.5	0.0205377
5.898	2.4668	0.918642	0.897523	0.500003	0.0384864	0.5	0.0205377
5.919	2.47304	0.926463	0.898289	0.499992	0.0381646	0.5	0.0205377
5.94	2.47957	0.934679	0.899102	0.500046	0.0392023	0.5	0.0205377
5.959	2.48579	0.942509	0.899881	0.499969	0.038841	0.5	0.0205377
5.981	2.49232	0.950736	0.900688	0.500018	0.0381724	0.5	0.00545732
6.002	2.49884	0.958967	0.901501	0.499988	0.0389399	0.5	0.00545732
6.023	2.50535	0.967204	0.902072	0.499974	0.0199548	0.5	0.00545732
6.044	2.51186	0.975443	0.902233	0.500029	0.00278233	0.5	0.00545732
6.064	2.51806	0.983291	0.902376	0.499942	0.00862865	0.5	0.00545732
6.084	2.52456	0.991531	0.902559	0.500021	0.00874439	0.5	0.00545732
6.105	2.53076	0.999381	0.902718	0.500024	0.00773926	0.5	0.00545732
6.126	2.53726	1.00762	0.902888	0.499925	0.00819047	0.5	0.00545732
6.146	2.54376	1.01587	0.903065	0.500038	0.00842138	0.5	0.00545732
6.167	2.54996	1.02372	0.903231	0.500084	0.00831982	0.5	0.00545732
6.188	2.55646	1.03197	0.9034	0.499898	0.0079989	0.5	0.0111881
6.209	2.56295	1.04022	0.903575	0.500029	0.00834448	0.5	0.0111881
6.229	2.56914	1.04807	0.903597	0.500108	0.00113355	0.5	0.0111881
6.25	2.57564	1.05632	0.903394	0.499886	-0.00680807	0.5	0.0111881
6.271	2.58214	1.06457	0.903251	0.500031	-0.00661632	0.5	0.0111881
6.291	2.58833	1.07242	0.903119	0.500083	-0.00693951	0.5	0.0111881
6.312	2.59483	1.08066	0.902973	0.49988	-0.00697645	0.5	0.0111881
6.333	2.60133	1.08891	0.902827	0.500038	-0.00687935	0.5	0.0111881
6.353	2.60753	1.09676	0.902689	0.5001	-0.00696755	0.5	0.0111881
6.373	2.61403	1.105	0.902544	0.499869	-0.00671162	0.5	0.0111881
6.394	2.62085	1.11363	0.902394	0.500107	-0.00695387	0.5	0.0168635
6.416	2.62705	1.12148	0.902273	0.50008	-0.00439293	0.5	0.0168635
6.437	2.63356	1.12972	0.902217	0.499896	8.53704e-05	0.5	0.0168635
6.457	2.64007	1.13796	0.902207	0.500073	-0.00116769	0.5	0.0168635
6.478	2.64627	1.14581	0.902182	0.500054	-0.0014347	0.5	0.0168635
6.499	2.65277	1.15405	0.902151	0.499894	-0.00147818	0.5	0.0168635
