t	x	y	theta	v	omega	v	omega
4.588	1.41644	1.40579	0.784092	0.499931	-0.313836	0.5	-0.144406
4.608	1.42354	1.41283	0.778371	0.499967	-0.234431	0.5	-0.144406
4.629	1.43103	1.42019	0.773482	0.500133	-0.230157	0.5	-0.144406
4.649	1.4382	1.42716	0.768824	0.500019	-0.236995	0.5	-0.144406
4.67	1.44576	1.43444	0.763861	0.499922	-0.235316	0.5	-0.144406
4.69	1.453	1.44134	0.759156	0.500077	-0.235132	0.5	-0.144406
4.71	1.46027	1.44821	0.754451	0.500126	-0.235389	0.5	-0.144406
4.731	1.46794	1.45538	0.749508	0.499898	-0.235382	0.5	-0.144406
4.75	1.47564	1.46251	0.744567	0.500049	-0.235145	0.5	-0.144406
4.771	1.48301	1.46928	0.739863	0.500069	-0.235278	0.5	-0.0658665
4.792	1.49041	1.476	0.735156	0.500011	-0.235454	0.5	-0.0658665
4.811	1.49896	1.48369	0.730929	0.499993	-0.150504	0.5	-0.0658665
4.836	1.50679	1.49069	0.727746	0.50009	-0.152104	0.5	-0.0658665
4.856	1.51426	1.49733	0.724608	0.499953	-0.158556	0.5	-0.0658665
4.877	1.52214	1.50428	0.721303	0.499993	-0.157018	0.5	-0.0658665
4.897	1.52966	1.51087	0.718172	0.500088	-0.156422	0.5	-0.0658665
4.917	1.5372	1.51744	0.715041	0.499904	-0.156545	0.5	-0.0658665
4.938	1.54513	1.52431	0.711745	0.499969	-0.157048	0.5	-0.0658665
4.958	1.55272	1.53083	0.708607	0.500034	-0.156897	0.5	0.0912131
4.978	1.56032	1.53733	0.705477	0.500015	-0.156446	0.5	0.0912131
4.998	1.56794	1.5438	0.702341	0.500007	-0.15682	0.5	0.0912131
5.016	1.57558	1.55026	0.700599	0.500017	-0.0748044	0.5	0.0912131
5.039	1.58361	1.55702	0.69908	0.500004	-0.0719303	0.5	0.0912131
5.059	1.59127	1.56345	0.697502	0.500014	-0.0796805	0.5	0.0912131
5.08	1.59933	1.57019	0.695849	0.499965	-0.0786231	0.5	0.0912131
5.096	1.60701	1.57659	0.694291	0.499982	-0.0777728	0.5	0.0912131
