t	x	y	theta	v	omega	v	omega
3.267	1.49283	-0.0264425	-0.0361531	0.499982	-0.0125961	0.5	0
3.287	1.50382	-0.0268415	-0.0364282	0.500019	-0.0123867	0.5	0
3.31	1.51431	-0.0272252	-0.036683	0.499985	-0.0119059	0.5	0
3.332	1.52481	-0.0276116	-0.0369408	0.500002	-0.0125536	0.5	0
3.352	1.5353	-0.0280007	-0.0372093	0.500009	-0.0129286	0.5	0
3.374	1.54579	-0.0283926	-0.037468	0.499973	-0.0120189	0.5	0
3.395	1.55628	-0.0287872	-0.0377206	0.500003	-0.0120307	0.5	0
3.416	1.56678	-0.0291845	-0.0379873	0.50007	-0.0129079	0.5	0
3.437	1.57727	-0.0295846	-0.0382468	0.499896	-0.0122305	0.5	0
3.458	1.58776	-0.0299874	-0.0385034	0.50007	-0.0122142	0.5	0
3.479	1.59825	-0.0303929	-0.0387662	0.500009	-0.012546	0.5	0
3.5	1.60875	-0.0308011	-0.0390263	0.49992	-0.0123782	0.5	0
3.521	1.61924	-0.0312121	-0.0392823	0.500108	-0.012278	0.5	0
3.542	1.62973	-0.0316257	-0.0395405	0.49992	-0.012455	0.5	0
3.563	1.64022	-0.0320421	-0.0398016	0.499942	-0.0122904	0.5	0
3.584	1.65071	-0.0324612	-0.0400601	0.500141	-0.0123898	0.5	0
3.605	1.66121	-0.032883	-0.0403205	0.499925	-0.0124328	0.5	0
3.626	1.6717	-0.0333075	-0.0405808	0.499995	-0.0123094	0.5	0
3.646	1.68219	-0.0337348	-0.0408405	0.500117	-0.0124791	0.5	0
3.667	1.69268	-0.0341648	-0.0411031	0.499892	-0.0125399	0.5	0
3.689	1.70317	-0.0345976	-0.0413634	0.500042	-0.012206	0.5	0
3.71	1.71366	-0.0350331	-0.0416218	0.500094	-0.0124167	0.5	0
3.728	1.72415	-0.0354713	-0.0418845	0.499908	-0.012594	0.5	0
3.751	1.73464	-0.0359122	-0.0421405	0.500084	-0.0118834	0.5	0
3.773	1.74513	-0.0363559	-0.0423964	0.500019	-0.0123757	0.5	0
3.794	1.75562	-0.0368022	-0.042661	0.499944	-0.0127093	0.5	0
3.815	1.76611	-0.0372513	-0.0429172	0.500058	-0.0119424	0.5	0
3.836	1.7766	-0.0377031	-0.0431714	0.499992	-0.0121588	0.5	0
3.857	1.78709	-0.0381575	-0.0434358	0.49999	-0.012692	0.5	0
3.878	1.79758	-0.0386148	-0.0436972	0.500025	-0.0124089	0.5	0
3.896	1.80807	-0.0390747	-0.043947	0.49998	-0.0118375	0.5	0
3.92	1.81856	-0.0395373	-0.0442108	0.500032	-0.0126019	0.5	0
3.941	1.82905	-0.0400027	-0.044481	0.499961	-0.0120421	0.5	0
3.962	1.83954	-0.0404709	-0.0447337	0.500046	-0.0119667	0.5	0
3.983	1.85003	-0.0409417	-0.0449879	0.499973	-0.012929	0.5	0
4.004	1.86052	-0.0414153	-0.0452567	0.499986	-0.0122393	0.5	0
4.025	1.87101	-0.0418916	-0.0455127	0.500068	-0.0120399	0.5	0
4.046	1.8815	-0.0423706	-0.0457699	0.499918	-0.0127658	0.5	0
4.066	1.89199	-0.0428523	-0.0460351	0.500019	-0.0123529	0.5	0
4.087	1.90348	-0.0433831	-0.0463183	0.499988	-0.0122621	0.5	0
4.111	1.91397	-0.0438705	-0.0465753	0.499925	-0.0122199	0.5	0
4.131	1.92445	-0.0443607	-0.0468346	0.500155	-0.0124419	0.5	0
4.153	1.93494	-0.0448536	-0.0470937	0.499911	-0.0122722	0.5	0
4.173	1.94543	-0.0453492	-0.0473522	0.499988	-0.0123309	0.5	0
4.195	1.95592	-0.0458475	-0.047617	0.500148	-0.0127183	0.5	0
4.216	1.96641	-0.0463486	-0.0478778	0.499881	-0.012327	0.5	0
4.236	1.9769	-0.0468524	-0.0481379	0.499996	-0.0123972	0.5	0
4.258	1.98738	-0.047359	-0.0483981	0.500109	-0.0123931	0.5	0
4.278	1.99787	-0.0478682	-0.0486593	0.499891	-0.0124484	0.5	0
4.3	2.00836	-0.0483803	-0.0489221	0.500031	-0.0125322	0.5	0
4.321	2.01885	-0.0488951	-0.0491765	0.500004	-0.0120426	0.5	0
4.342	2.02933	-0.0494125	-0.0494358	0.499914	-0.0123813	0.5	0
4.363	2.03982	-0.0499327	-0.0496992	0.500068	-0.0125507	0.5	0
4.384	2.05031	-0.0504556	-0.0499638	0.499992	-0.0118579	0.5	0
4.405	2.06079	-0.0509813	-0.0502141	0.499952	-0.0125175	0.5	0
4.426	2.07128	-0.0515096	-0.0504776	0.500051	-0.0127337	0.5	0
4.447	2.08177	-0.0520407	-0.0507419	0.499991	-0.0119585	0.5	0
4.468	2.09225	-0.0525745	-0.0509924	0.499979	-0.011832	0.5	0
4.489	2.10274	-0.053111	-0.0512469	0.49999	-0.0128315	0.5	0
4.509	2.11323	-0.0536502	-0.0515115	0.5	-0.0121361	0.5	0
4.531	2.12371	-0.0541921	-0.0517643	0.500018	-0.0118756	0.5	0
4.551	2.1342	-0.0547366	-0.0520222	0.49998	-0.0128251	0.5	0
4.573	2.14468	-0.0552839	-0.0522863	0.500058	-0.0123072	0.5	0
4.594	2.15517	-0.055834	-0.0525415	0.499963	-0.01201	0.5	0
4.615	2.16565	-0.0563867	-0.0527989	0.499989	-0.012438	0.5	0
4.636	2.17614	-0.0569421	-0.0530621	0.500051	-0.0125916	0.5	0
4.657	2.18663	-0.0575003	-0.0533199	0.499934	-0.0121202	0.5	0
4.678	2.19711	-0.0580612	-0.0535764	0.500032	-0.0123681	0.5	0
4.697	2.20859	-0.0586786	-0.053859	0.499956	-0.0122037	0.5	0
4.722	2.21908	-0.0592451	-0.0541169	0.499944	-0.0123348	0.5	0
4.742	2.22956	-0.0598143	-0.0543777	0.500143	-0.0124676	0.5	0
4.764	2.24005	-0.0603863	-0.0546376	0.499917	-0.012337	0.5	0
4.785	2.25053	-0.060961	-0.0548953	0.499977	-0.0122444	0.5	0
4.805	2.26102	-0.0615384	-0.0551545	0.500121	-0.0123732	0.5	0
4.827	2.2715	-0.0621186	-0.0554144	0.499885	-0.012376	0.5	0
4.848	2.28198	-0.0627014	-0.055674	0.500018	-0.012359	0.5	0
4.869	2.29247	-0.063287	-0.0559363	0.500071	-0.0125053	0.5	0
4.89	2.30295	-0.0638753	-0.056193	0.499896	-0.0122092	0.5	0
4.91	2.31343	-0.0644663	-0.0564554	0.500055	-0.0126307	0.5	0
4.93	2.32392	-0.0650601	-0.0567191	0.500016	-0.0118509	0.5	0
4.953	2.3344	-0.0656566	-0.0569696	0.49993	-0.0124136	0.5	0
4.974	2.34488	-0.0662557	-0.0572312	0.500057	-0.0126476	0.5	0
4.994	2.35537	-0.0668577	-0.0574943	0.500006	-0.0121452	0.5	0
5.016	2.36585	-0.0674623	-0.0577495	0.499931	-0.0121576	0.5	0
5.036	2.37633	-0.0680696	-0.0580079	0.500048	-0.012611	0.5	0
5.058	2.38681	-0.0686797	-0.0582742	0.49997	-0.0127945	0.5	0
5.079	2.39729	-0.0692925	-0.0585344	0.499982	-0.0118493	0.5	0
5.1	2.40778	-0.0699081	-0.0587892	0.499981	-0.0124391	0.5	0
5.121	2.41826	-0.0705263	-0.0590551	0.50003	-0.012865	0.5	0
5.142	2.42874	-0.0711473	-0.0593155	0.50001	-0.0120567	0.5	0
5.163	2.43922	-0.071771	-0.0595666	0.499977	-0.0118966	0.5	0
5.184	2.4497	-0.0723974	-0.0598303	0.500013	-0.0128818	0.5	0
5.205	2.46018	-0.0730266	-0.0600901	0.499999	-0.0121677	0.5	0
5.226	2.47066	-0.0736584	-0.0603427	0.499996	-0.0119845	0.5	0
5.246	2.48115	-0.0742929	-0.0606022	0.500069	-0.0124483	0.5	0
5.268	2.49163	-0.0749301	-0.0608636	0.499909	-0.0124457	0.5	0
5.289	2.50211	-0.0755701	-0.0611184	0.500028	-0.0121004	0.5	0
5.31	2.51259	-0.0762127	-0.0613739	0.50001	-0.0121723	0.5	0
5.33	2.52307	-0.076858	-0.0616378	0.499911	-0.0122685	0.5	0
5.35	2.53355	-0.0775061	-0.0618954	0.500057	-0.0122613	0.5	0
5.372	2.54403	-0.0781569	-0.0621541	0.499991	-0.0126595	0.5	0
5.394	2.55451	-0.0788104	-0.0624188	0.499905	-0.0123759	0.5	0
5.415	2.56499	-0.0794667	-0.0626782	0.500135	-0.0122824	0.5	0
5.436	2.57547	-0.0801257	-0.0629371	0.499958	-0.0124387	0.5	0
5.457	2.58594	-0.0807873	-0.0631975	0.499955	-0.0123205	0.5	0
5.477	2.59642	-0.0814518	-0.063457	0.500111	-0.0124265	0.5	0
5.499	2.6069	-0.082119	-0.0637193	0.499914	-0.0125663	0.5	0
5.52	2.61738	-0.0827888	-0.0639763	0.500001	-0.0118857	0.5	0
5.541	2.62786	-0.0834614	-0.0642318	0.500114	-0.0124144	0.5	0
5.562	2.63834	-0.0841367	-0.0644947	0.499884	-0.0125987	0.5	0
5.583	2.64882	-0.0848147	-0.0647528	0.500051	-0.0121044	0.5	0
5.604	2.65929	-0.0854954	-0.0650073	0.500017	-0.012128	0.5	0
5.625	2.66977	-0.0861788	-0.0652691	0.499954	-0.0126021	0.5	0
5.646	2.68025	-0.086865	-0.0655355	0.500066	-0.0127077	0.5	0
5.667	2.69073	-0.0875539	-0.0657883	0.50002	-0.0118842	0.5	0.02618
5.688	2.7012	-0.0882454	-0.0660487	0.499983	-0.0124859	0.5	0.02618
5.709	2.71168	-0.0889398	-0.0663179	0.500014	-0.0128723	0.5	0.02618
5.73	2.72216	-0.0896369	-0.0665695	0.499996	-0.0119358	0.5	0.02618
5.751	2.73263	-0.0903366	-0.0668282	0.500013	-0.012855	0.5	0.02618
5.77	2.74311	-0.0910392	-0.067097	0.499966	-0.012279	0.5	0.02618
5.792	2.75359	-0.0917444	-0.0673538	0.500039	-0.0118976	0.5	0.05236
5.813	2.76406	-0.0924523	-0.067522	0.499956	0.00850124	0.5	0.05236
5.835	2.77454	-0.0931598	-0.0673	0.499945	0.0171932	0.5	0.05236
5.856	2.78502	-0.0938642	-0.0669605	0.500034	0.0136046	0.5	0.05236
5.877	2.79549	-0.0945653	-0.0666725	0.499952	0.0139399	0.5	0.07854
5.896	2.80647	-0.0952965	-0.0663684	0.500035	0.0136538	0.5	0.07854
5.92	2.81695	-0.0959911	-0.0658811	0.500058	0.0337063	0.5	0.07854
5.941	2.82742	-0.0966785	-0.0650635	0.499892	0.0436863	0.5	0.07854
5.962	2.8379	-0.0973567	-0.064202	0.500069	0.0390227	0.5	0.07854
5.983	2.84838	-0.0980263	-0.0633709	0.500034	0.0399223	0.5	0.07854
6.004	2.85886	-0.098687	-0.062529	0.499905	0.0401743	0.5	0.10472
6.025	2.86934	-0.099338	-0.0613874	0.500135	0.0614561	0.5	0.10472
6.046	2.87982	-0.0999752	-0.059967	0.499918	0.069565	0.5	0.10472
6.067	2.8903	-0.100597	-0.0585714	0.499954	0.0657313	0.5	0.10472
6.088	2.90078	-0.101205	-0.0571864	0.500164	0.0659866	0.5	0.1309
6.109	2.91127	-0.101798	-0.0557939	0.499904	0.0663434	0.5	0.1309
6.13	2.92175	-0.102375	-0.0539512	0.499994	0.0888201	0.5	0.1309
6.15	2.93224	-0.102931	-0.0519521	0.500097	0.0923728	0.5	0.1309
6.172	2.94272	-0.103467	-0.0500127	0.49991	0.0921509	0.5	0.1309
6.19	2.95371	-0.104006	-0.0479854	0.500059	0.0921357	0.5	0.1309
6.215	2.9642	-0.1045	-0.0459498	0.50001	0.112287	0.5	0.15708
6.236	2.97469	-0.10497	-0.0435322	0.499947	0.122224	0.5	0.15708
6.257	2.98518	-0.105414	-0.0409966	0.500076	0.117772	0.5	0.15708
6.278	2.99567	-0.105832	-0.0385215	0.49995	0.118016	0.5	0.15708
6.297	3.00616	-0.106224	-0.0360314	0.500007	0.119315	0.5	0.18326
6.32	3.01666	-0.10659	-0.0333404	0.500029	0.137853	0.5	0.18326
6.341	3.02715	-0.106925	-0.0303365	0.499927	0.147769	0.5	0.18326
6.362	3.03765	-0.107228	-0.0272676	0.500014	0.144912	0.5	0.20944
6.383	3.04814	-0.107499	-0.0242341	0.500076	0.144169	0.5	0.20944
6.404	3.05864	-0.107738	-0.0212059	0.499991	0.144214	0.5	0.20944
6.425	3.06914	-0.107945	-0.017867	0.499978	0.164911	0.5	0.20944
6.446	3.07964	-0.108115	-0.0142494	0.499996	0.174565	0.5	0.20944
6.467	3.09014	-0.108246	-0.0106672	0.50009	0.169639	0.5	0.20944
6.488	3.10064	-0.10834	-0.00707656	0.499951	0.171208	0.5	0.23562
6.509	3.11114	-0.108397	-0.00347709	0.500006	0.171424	0.5	0.23562
6.529	3.12114	-0.108413	0.000358813	0.499942	0.192867	0.5	0.23562
6.55	3.13164	-0.108388	0.00456169	0.499993	0.2005	0.5	0.23562
6.57	3.14164	-0.108324	0.00850025	0.500069	0.196928	0.5	0.23562
6.59	3.15213	-0.108214	0.0126219	0.499889	0.197317	0.5	0.2618
6.611	3.16263	-0.108061	0.0168113	0.500044	0.220198	0.5	0.2618
6.63	3.17313	-0.107861	0.0214518	0.499987	0.225659	0.5	0.2618
6.654	3.18363	-0.107612	0.0261791	0.499906	0.222765	0.5	0.2618
6.675	3.19412	-0.107314	0.0308597	0.500224	0.223274	0.5	0.28798
6.696	3.20462	-0.106967	0.0355499	0.499903	0.223506	0.5	0.28798
6.717	3.21511	-0.10657	0.0403892	0.499983	0.244325	0.5	0.28798
6.738	3.2256	-0.10612	0.0455916	0.500192	0.253269	0.5	0.28798
6.759	3.23609	-0.105615	0.0508718	0.499873	0.248999	0.5	0.31416
6.78	3.24657	-0.105055	0.0561031	0.500062	0.249235	0.5	0.31416
6.801	3.25706	-0.10444	0.0613407	0.499975	0.24956	0.5	0.31416
6.822	3.26754	-0.10377	0.06687	0.499926	0.273605	0.5	0.31416
6.842	3.27801	-0.103039	0.0726799	0.500388	0.278544	0.5	0.31416
6.864	3.28848	-0.102248	0.0784793	0.499872	0.274973	0.5	0.31416
6.885	3.29895	-0.101396	0.0842586	0.500018	0.275293	0.5	0.34034
6.906	3.30941	-0.100483	0.0900517	0.500072	0.27604	0.5	0.34034
6.927	3.31986	-0.0995085	0.0962476	0.499875	0.299514	0.5	0.34034
6.948	3.33031	-0.0984678	0.102627	0.500071	0.304491	0.5	0.34034
